,1526 mz 73,1932 mz 73,2028 mw 462,2070 mw 408,2098 mz 57,2280 mz 204,2332 mz 71,2348 mz 230,2497 mz 204,2882 mw 658,3012 mw 530,3073 nonacosan-10-ol,33.3989 min MOSS-10,aC16:0,aC18:0,aC18:2,aC18:3,aC20:4,aC24:0,allantoin (3TMS),a-tocopherol,campesterol,diethylcarbamate (1TMS),glucose (aP),myo-inositol,"myo-inositol-1,2-cyclic phosphate",nC22,nC23,phytol,"RI=1005.5,  11.9915 min MOSS-4","RI=1019.0,  12.1606 min MOSS-4","RI=1022.4,  12.2026 min MOSS-4","RI=1049.2,  12.5398 min MOSS-4","RI=1065.2,  12.7399 min MOSS-4","RI=1111.9,  13.3258 min MOSS-4","RI=1231.0,  14.8216 min MOSS-4","RI=1273.9,  15.3600 min MOSS-4","RI=1280.9,  15.4473 min MOSS-4","RI=1284.4,  15.4916 min MOSS-4","RI=1284.7,  15.4949 min MOSS-4","RI=1335.1,  16.1273 min MOSS-4","RI=1343.5,  16.2334 min MOSS-4","RI=1358.0,  16.4147 min MOSS-4","RI=1358.2,  16.4180 min MOSS-4","RI=1396.1,  16.8934 min MOSS-4","RI=1432.4,  17.3489 min MOSS-4","RI=1432.6,  17.3511 min MOSS-4","RI=1443.0,  17.4815 min MOSS-4","RI=1657.5,  20.1735 min MOSS-4","RI=1657.9,  20.1790 min MOSS-4","RI=1723.2,  20.9983 min MOSS-6","RI=1733.0,  21.1210 min MOSS-6","RI=1756.2,  21.4129 min MOSS-6","RI=1780.5,  21.7169 min MOSS-6","RI=1785.5,  21.7799 min MOSS-6","RI=1785.8,  21.7832 min MOSS-6","RI=1822.1,  22.2398 min MOSS-6","RI=1836.6,  22.4211 min MOSS-6","RI=1840.5,  22.4698 min MOSS-6","RI=2019.7,  23.9423 min MOSS-2-14","RI=2401.7,  29.5064 min MOSS-2-13","RI=2470.6,  30.3786 min MOSS-4","RI=2470.9,  30.3820 min MOSS-4","RI=2519.4,  30.9900 min MOSS-4","RI=2540.2,  31.2509 min MOSS-4","RI=2549.0,  31.3615 min MOSS-4","RI=2552.3,  31.4035 min MOSS-4","RI=2554.7,  31.4333 min MOSS-4","RI=2567.3,  31.5914 min MOSS-4","RI=2582.8,  31.8756 min MOSS-2-19","RI=2603.5,  32.0458 min MOSS-4","RI=2622.7,  32.2868 min MOSS-4","RI=2630.1,  32.3796 min MOSS-4","RI=2642.2,  32.5311 min MOSS-4","RI=2650.0,  32.7036 min MOSS-2-19","RI=2669.6,  32.8749 min MOSS-4","RI=2705.4,  33.3769 min MOSS-2-19","RI=2705.9,  33.3835 min MOSS-2-19","RI=2706.5,  33.3901 min MOSS-2-19","RI=697.3,   8.1231 min MOSS-2-23","RI=746.5,   8.7401 min MOSS-4","RI=767.1,   8.9987 min MOSS-2-23","RI=811.9,   9.5615 min MOSS-4","RI=835.7,   9.8600 min MOSS-4","RI=841.2,   9.9285 min MOSS-4","RI=874.6,  10.3487 min MOSS-2-15",S 2810,STD nC23,stigmasterol
1,,,,,0.0527,0.0436,0.0388,0.0465,,,,,1.64,0.912,0.38,,,,,,0.00761,,,1.48,0.124,,,10,0.0101,0.018,0.0623,0.0109,0.0332,0.0193,,0.0357,0.0477,0.0883,,,,0.0357,,0.105,,,,0.0508,0.276,,0.28,,0.0435,0.0919,,0.049,,0.0437,0.911,,0.184,,,,,,,,,,,,,,,,,,,,,,,,0.0218,1.58,,10,
2,,,0.00542,,,0.153,,0.0447,0.0215,0.047,0.0814,,3.23,0.748,0.421,0.025,0.0478,0.0306,,0.0183,0.0312,0.203,0.108,1.53,0.182,0.0559,,10,0.0301,0.0152,0.0697,0.00715,0.0318,0.0226,0.0355,0.0475,0.0571,0.0736,0.0174,,0.000921,0.0168,,0.125,0.00558,,,0.00607,0.692,,0.369,,0.0531,0.0998,,0.0388,0.00625,0.0262,0.924,,0.0889,,0.156,,,,0.0434,0.00313,,,,,,,0.0157,,,,,0.0053,,,0.00828,0.0143,0.0144,2.28,0.00429,10,0.342
3,,,0.0115,,,0.242,,0.0524,0.0267,0.0299,0.0674,,3.98,0.94,0.487,0.0119,0.0302,,,,0.0254,0.154,,2.24,0.307,0.0512,,10,0.0406,0.0223,0.202,,0.0469,0.06,,0.0867,0.2,0.314,,,0.00233,0.029,,0.246,,,,,0.573,,0.144,,0.0102,0.0505,,0.0704,,0.0381,1.39,,0.0958,,0.0412,,0.0789,,0.084,0.00674,0.03,,0.0372,,0.0724,,,0.0702,,,,0.00964,,,0.0116,,0.0199,2.89,0.0165,10,0.301
4,,,0.00434,,,0.134,,0.0249,0.0193,0.0316,0.0861,,2.8,0.664,0.373,0.0147,0.0321,,,0.0172,0.0166,0.119,0.134,0.618,0.204,0.0331,0.00356,10,0.0311,0.013,0.0653,0.00809,0.0236,0.0187,0.0252,0.0643,0.0544,0.0804,0.0195,0.0221,0.00523,0.0155,0.026,0.161,0.0103,0.018,0.0668,0.00966,0.418,0.0103,0.198,,0.0292,0.0543,,0.0367,0.0138,0.0178,0.354,,0.0924,0.0149,0.0837,0.0195,0.0184,0.0315,0.0454,0.00697,0.0245,,0.0223,0.0145,0.0196,0.0251,,0.0407,,,,0.00556,0.00934,,0.0074,0.0068,0.0184,1.89,0.0166,10,0.22
5,,,,,,0.131,,0.0228,0.00492,0.00776,0.0508,,2.25,0.738,0.4,,,,,,0.00684,0.0864,,0.71,0.217,,,10,0.0183,0.0159,0.132,0.0156,0.03,0.0314,,0.103,0.178,0.19,,,0.00164,0.0223,,0.251,,,,0.0817,0.285,,,,,0.0175,,0.0487,,0.0169,0.418,,0.0943,,0.0124,,,,0.0165,,,,,,,,,,,,,0.011,,,0.00821,,0.027,2.19,,10,0.137
6,,,0.0038,,,0.129,,0.0241,0.0135,0.0288,0.0766,,2.61,0.643,0.388,,0.0258,0.0157,,0.0193,0.018,0.14,,0.573,0.194,0.0351,,10,0.0287,0.0112,0.0536,0.00865,0.0222,0.0149,0.0263,0.0667,0.0505,0.0744,,0.0214,0.00104,0.0152,,0.169,0.0123,,,0.0681,0.435,,0.18,0.0226,0.0259,0.0492,0.0248,0.037,0.0166,0.0168,0.336,,0.0947,,0.101,,,,0.0275,0.00289,,,,,,,,,,,,0.00648,,,0.00539,0.00972,0.0206,1.95,0.0128,10,0.242
7,,,0.00482,,,0.248,,0.0425,0.033,0.0709,0.116,0.048,6.1,0.765,0.437,0.0272,0.0546,,0.00138,0.0432,0.0354,0.201,0.133,1.11,0.357,0.0328,0.00338,10,0.0362,0.017,0.138,0.0085,0.0486,0.0438,0.0496,0.11,0.0988,0.138,0.0397,0.0511,0.0023,0.0418,,0.309,0.0111,,,,0.691,,0.334,,0.048,0.0913,,0.0625,0.0351,0.0517,0.656,,0.0902,,0.148,,,,0.0692,0.00478,,,,,,,0.00489,,,,,0.00644,,,0.00768,0.0159,0.0191,2.98,0.00573,10,0.342
8,,,0.00273,,,0.154,,0.0438,0.0108,0.0193,0.0494,,2.97,0.881,0.438,,0.0197,,,,0.0153,0.091,0.149,0.852,0.2,0.0389,0.00603,10,0.0162,0.0237,0.132,0.0125,0.057,0.0423,,0.114,0.194,0.162,,,0.00122,0.0312,,0.336,,,,,0.329,,0.0877,,,0.0265,,0.0954,,0.0312,0.515,,0.0879,,0.011,,,,0.0283,,,,,,,,0.0962,,,,,0.00861,,,0.0108,,0.0251,1.92,,10,0.168
9,,,0.00551,,,0.212,,0.0418,0.0225,0.0221,0.0612,,4.65,0.913,0.447,,0.0109,,,,0.015,0.113,,1,0.324,0.0215,,10,0.018,0.0178,0.159,0.0103,0.0529,0.0501,,0.121,0.233,0.199,,,,0.0414,,0.359,,,,,0.356,,,,,0.0135,,0.0919,0.00882,0.0441,0.606,,0.0863,,0.0202,,,,0.0449,,,,,,,,,,,,,0.00788,,,0.00964,,0.021,2.21,,10,0.184
10,,0.0874,,,,0.269,,0.0454,0.0256,0.0272,0.0595,,5.17,0.714,0.356,0.0106,0.0206,0.012,,0.00506,0.0171,0.123,,4.43,0.404,0.0556,0.00469,10,0.0201,0.014,0.2,0.012,0.0372,0.0595,,0.137,0.239,0.234,,,0.00278,0.0354,,0.343,,,,,0.349,,0.0859,,,0.0294,,0.0336,0.0125,,2.71,,0.0867,,0.0278,,,,0.0432,,,,,,,,,,,,,0.00968,,,0.00849,,0.0218,2.6,0.00489,10,0.208
