sample,state,bio,tech,ctrl,mass
1,K0,1,1,K0,0.057
2,K0,1,2,K0,0.130
3,K0,1,3,K0,0.031
4,Xa5,1,1,K0,0.082
5,Xa5,1,2,K0,0.068
6,Xa5,1,3,K0,0.129
7,1393,1,1,K0,0.127
8,1393,1,2,K0,0.122
9,1393,1,3,K0,0.077
10,N2,1,1,K0,0.160
11,N2,1,2,K0,0.075
12,N2,1,3,K0,0.120
13,11004,1,1,K0,0.066
14,11004,1,2,K0,0.087
15,11004,1,3,K0,0.022
16,8004,1,1,K0,0.138
17,8004,1,2,K0,0.103
18,8004,1,3,K0,0.136
19,B100,1,1,K0,0.105
20,B100,1,2,K0,0.113
21,B100,1,3,K0,0.060
22,3004,1,1,K0,0.153
23,3004,1,2,K0,0.115
24,3004,1,3,K0,0.090
25,1717,1,1,K0,0.105
26,1717,1,2,K0,0.117
27,1717,1,3,K0,0.140
28,1347,1,1,K0,0.063
29,1347,1,2,K0,0.048
30,1347,1,3,K0,0.064
31,5212,1,1,K0,0.113
32,5212,1,2,K0,0.079
33,5212,1,3,K0,0.114
34,1845,1,1,K0,0.123
35,1845,1,2,K0,0.077
36,1845,1,3,K0,0.140
37,K5,2,1,K5,0.148
38,K5,2,2,K5,0.111
39,K5,2,3,K5,0.087
40,Xa5,2,1,K5,0.158
41,Xa5,2,2,K5,0.132
42,Xa5,2,3,K5,0.109
43,1393,2,1,K5,0.251
44,1393,2,2,K5,0.172
45,1393,2,3,K5,0.151
46,N2,2,1,K5,0.172
47,N2,2,2,K5,0.170
48,N2,2,3,K5,0.127
49,11004,2,1,K5,0.186
50,11004,2,2,K5,0.180
51,11004,2,3,K5,0.102
52,8004,2,1,K5,0.247
53,8004,2,2,K5,0.153
54,8004,2,3,K5,0.141
55,B100,2,1,K5,0.212
56,B100,2,2,K5,0.154
57,B100,2,3,K5,0.176
58,3004,2,1,K5,0.271
59,3004,2,2,K5,0.194
60,3004,2,3,K5,0.214
61,1717,2,1,K5,0.175
62,1717,2,2,K5,0.106
63,1717,2,3,K5,0.085
64,1347,2,1,K5,0.189
65,1347,2,2,K5,0.121
66,1347,2,3,K5,0.126
67,5212,2,1,K5,0.182
68,5212,2,2,K5,0.305
69,5212,2,3,K5,0.221
70,1845,2,1,K5,0.146
71,1845,2,2,K5,0.143
72,1845,2,3,K5,0.135
81,K30,1,1,K30,0.050
82,K30,1,2,K30,0.025
83,K30,1,3,K30,0.058
84,K30,2,1,K30,0.080
85,K30,2,2,K30,0.050
86,K30,3,3,K30,0.050
87,B100,1,1,K30,0.015
88,B100,1,2,K30,0.02
89,1393,1,1,K30,0.036
90,1393,1,2,K30,0.030
91,3004,1,1,K30,0.02
92,3004,1,2,K30,0.037
93,1347,1,1,K30,0.020
94,1347,1,2,K30,0.045
95,Xa5,1,1,K30,0.040
96,Xa5,1,2,K30,0.080
97,Xc102,1,1,K30,0.025
98,Xc102,1,2,K30,0.050
99,5212,1,1,K30,0.060
100,5212,1,2,K30,0.040
101,8004,1,1,K30,0.025
102,8004,1,2,K30,0.025
103,1845,1,1,K30,0.030
104,1845,1,2,K30,0.035
105,N2,1,1,K30,0.030
106,N2,1,2,K30,0.015
