,2280 mz 204,2348 mz 230,2882 mw 658,33.3989 min MOSS-10,aC16:0,aC18:0,aC18:2,aC20:4,aC24:0,a-tocopherol,campesterol,glucose (aP),myo-inositol,"myo-inositol-1,2-cyclic phosphate",phytol,"RI=1231.0,  14.8216 min MOSS-4","RI=1273.9,  15.3600 min MOSS-4","RI=1280.9,  15.4473 min MOSS-4","RI=1320.4,  10.7388 min MOSS-2-22","RI=1329.9,  10.9179 min MOSS-2-22","RI=1335.1,  16.1273 min MOSS-4","RI=1343.5,  16.2334 min MOSS-4","RI=1358.2,  16.4180 min MOSS-4","RI=1534.6,  14.8018 min MOSS-2-13","RI=1657.5,  20.1735 min MOSS-4","RI=1705.8,  18.0509 min MOSS-2-20","RI=1723.2,  20.9983 min MOSS-6","RI=1756.2,  21.4129 min MOSS-6","RI=1780.5,  21.7169 min MOSS-6","RI=1785.8,  21.7832 min MOSS-6","RI=1836.6,  22.4211 min MOSS-6","RI=1840.5,  22.4698 min MOSS-6","RI=1964.8,  22.9650 min MOSS-2-14","RI=1982.3,  23.2967 min MOSS-2-14","RI=2019.7,  23.9423 min MOSS-2-14","RI=2129.2,  25.6415 min MOSS-2-14","RI=2156.0,  26.0428 min MOSS-2-14","RI=2158.2,  26.0770 min MOSS-2-23","RI=2287.4,  27.9586 min MOSS-2-23","RI=2401.7,  29.5064 min MOSS-2-13","RI=2470.9,  30.3820 min MOSS-4","RI=2504.1,  30.8784 min MOSS-2-14","RI=2554.7,  31.4333 min MOSS-4","RI=2582.5,  31.8711 min MOSS-2-19","RI=2582.8,  31.8756 min MOSS-2-19","RI=2648.8,  32.6892 min MOSS-2-19","RI=2650.0,  32.7036 min MOSS-2-19","RI=2705.4,  33.3769 min MOSS-2-19","RI=2705.9,  33.3835 min MOSS-2-19","RI=2706.5,  33.3901 min MOSS-2-19","RI=2706.9,  33.3946 min MOSS-2-19","RI=2707.1,  33.3968 min MOSS-2-19","RI=2707.4,  33.4012 min MOSS-2-19","RI=2707.6,  33.4034 min MOSS-2-19","RI=2969.9,  36.3176 min MOSS-2-20","RI=3133.8,  38.1274 min MOSS-2-14","RI=3134.3,  38.1329 min MOSS-2-14","RI=3272.1,  39.5325 min MOSS-2-14","RI=697.3,   8.1231 min MOSS-2-23","RI=767.1,   8.9987 min MOSS-2-23","RI=811.9,   9.5615 min MOSS-4","RI=858.4,  10.1452 min MOSS-2-23","RI=868.1,  10.2668 min MOSS-2-23","RI=874.6,  10.3487 min MOSS-2-15",S 2810,STD nC23,stigmasterol
1,0.125,,,74.1,0.278,0.0199,0.086,,,0.0341,0.193,0.29,0.0525,,,0.873,0.0123,,,,,,0.435,,0.0982,,0.0959,,0.0384,,,0.176,,,,,,,,0.0518,,,,,,,,22.4,,49.5,,,,,,,,,0.0109,,0.0136,,,0.785,,10,0.315
3,0.195,,0.0149,70.7,0.165,0.0487,0.0553,0.0373,,0.0218,0.129,0.448,0.14,,,0.214,0.0176,0.00818,,,,0.023,0.814,,0.0695,,0.0541,0.0547,0.0209,,,0.223,,,,,,,,0.0522,,,,,,,0.122,,,,,,,,0.295,,,,,,0.0177,,,,0.0321,10,0.188
4,0.394,0.0433,0.0437,113,0.281,0.0738,0.105,,,0.0677,0.316,1.18,0.189,0.0545,0.00352,0.364,0.0737,0.0347,,,,0.0308,0.857,,0.118,,0.0819,,0.032,,0.0205,0.716,,,0.00644,,,,,0.0537,0.035,,,,,,0.183,9.23,48,75.9,,,,,1.18,,,,0.00824,,0.0304,,,0.898,0.0471,10,0.524
6,0.57,,0.102,137,0.353,0.0985,,,,,0.363,1.16,0.268,0.098,,1.1,0.124,0.0446,,,,0.0608,1.87,,0.138,,0.132,,0.0574,,,0.668,,,,,,,,0.0535,0.0415,,,,0.0118,,1.05,5.3,,99.1,,,,,1.75,,,,0.0097,,0.031,,,1.37,0.0547,10,0.57
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0443,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,10,
8,0.0952,,,14.6,0.0412,0.0236,,,,,,,0.0202,,,0.249,0.117,0.00701,,,,,0.111,,0.0237,,,,,,,,,,,,,,,0.0457,,,,,,,,,,,,,,,0.0465,,,,,,,,,0.0945,,10,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103,,0.0419,,,,,,,,,,,0.0479,,0.0104,,,,,,,,,,,,,,,,,0.0171,,,,,,,10,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,,0.0503,,,,,,,,,,,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,10,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0822,,0.0327,,,,,,,,,,,0.0489,,,,,,,,,,,,,,,,,,,,,,,,,,10,
13,,,,,,,,,,,,,,,,,,,,,,,,0.181,,,0.0952,,0.0399,,,,,,,,,,,0.0482,,,,,,,,,,,,,,,,,,,,,,,,,,10,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.0629,0.243,,,,0.119,0.0999,0.0396,0.0371,0.0256,,,,,0.206,,,,,,,,,,,,,,0.134,0.0934,0.569,,0.0113,,,0.0301,,,10,
15,0.537,,0.134,37.5,0.484,0.366,0.144,,,,0.731,0.0946,,0.119,0.0599,1.12,,,,,,0.0429,1.11,,0.992,,0.316,0.0268,0.107,,,0.104,,,,0.0317,,,,0.0349,0.0241,,,23.4,85.9,66.7,81.3,14.4,,,,,,,0.644,,,,0.0121,,0.0716,,,6.63,,10,1.29
16,0.581,,0.179,51.7,0.481,0.276,0.164,,,,0.738,0.0829,,0.0935,0.0623,1.44,0.024,,,,,,1.35,,0.688,,0.303,0.0252,0.0962,0.0643,,0.0769,,0.0313,0.0202,,,,,0.0347,,,,23.2,80.3,73.9,103,8.05,11.3,34.1,,,,,0.496,,,,0.0169,,0.0914,,,4.93,,10,1.35
