Name,101,102,103,104,105,106,107,108,109,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1030
1526 mz 73,,,,,,,,,,,,0.0123,,,,,,,,,,,,,,,,,
1932 mz 73,,,,,,,,,,0.0874,,,,,,,,,,,,,,,,,,,
2028 mw 462,,0.00542,0.0115,0.00434,,0.0038,0.00482,0.00273,0.00551,,0.0114,0.00496,,0.0132,0.0107,0.00797,,,,,,,,,,,,,
2070 mw 408,,,,,,,,,,,,,,,0.0075,,,,,,,,0.0211,,,,,,
2098 mz 57,0.0527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280 mz 204,0.0436,0.153,0.242,0.134,0.131,0.129,0.248,0.154,0.212,0.269,0.18,0.228,0.389,0.732,0.445,0.12,0.326,0.212,0.829,0.122,0.433,0.155,1.29,0.108,0.255,0.0569,0.103,0.122,0.076
2332 mz 71,0.0388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2348 mz 230,0.0465,0.0447,0.0524,0.0249,0.0228,0.0241,0.0425,0.0438,0.0418,0.0454,0.0432,0.0466,0.0338,0.0517,0.038,0.0294,0.0287,0.0156,0.0103,0.0118,,0.0167,0.0123,,,0.0182,0.0174,0.017,
2497 mz 204,,0.0215,0.0267,0.0193,0.00492,0.0135,0.033,0.0108,0.0225,0.0256,,0.0305,0.0746,0.0873,0.041,,0.0124,0.00902,0.0857,0.00875,0.0299,,0.0429,,0.0101,,,0.00411,
2882 mw 658,,0.047,0.0299,0.0316,0.00776,0.0288,0.0709,0.0193,0.0221,0.0272,,0.0616,0.0562,0.122,0.028,0.00644,0.00909,0.0112,0.0872,0.0146,0.0439,,0.0429,,0.013,0.00522,0.00648,,0.00294
3012 mw 530,,0.0814,0.0674,0.0861,0.0508,0.0766,0.116,0.0494,0.0612,0.0595,0.0353,0.0676,0.039,0.105,0.0416,0.0646,0.0569,0.0517,0.0795,0.0875,0.0584,0.0498,0.0976,0.0773,0.0554,0.0511,,0.0278,
3073 nonacosan-10-ol,,,,,,,0.048,,,,,,,,,,,,,,,,,,,,,,
33.3989 min MOSS-10,1.64,3.23,3.98,2.8,2.25,2.61,6.1,2.97,4.65,5.17,4.5,6.91,13.8,13.8,8.54,1.68,2,1.46,11.2,2.18,8.28,1.6,12.1,1.94,2.87,1.48,1.47,2.52,1.28
aC16:0,0.912,0.748,0.94,0.664,0.738,0.643,0.765,0.881,0.913,0.714,0.757,0.627,0.699,0.95,0.751,1.23,1.23,0.582,1.53,1.27,1.25,1.65,1.07,1.09,1.08,0.836,0.825,0.918,0.728
aC18:0,0.38,0.421,0.487,0.373,0.4,0.388,0.437,0.438,0.447,0.356,0.318,0.328,0.327,0.489,0.354,0.464,0.541,0.253,0.721,0.608,0.569,0.798,0.533,0.485,0.486,0.358,0.257,0.378,0.249
aC18:2,,0.025,0.0119,0.0147,,,0.0272,,,0.0106,,0.0187,,0.0351,,,,,,,,,,,,,,,
aC18:3,,0.0478,0.0302,0.0321,,0.0258,0.0546,0.0197,0.0109,0.0206,0.0408,0.0385,,0.0653,,,0.0208,0.0227,,,,,,,0.0106,,,,
aC20:4,,0.0306,,,,0.0157,,,,0.012,,0.0262,,0.0427,,,,,,,,,,,,,,,
aC24:0,,,,,,,0.00138,,,,,,,0.00109,,,,,,,,,,,,,,,
allantoin (3TMS),,0.0183,,0.0172,,0.0193,0.0432,,,0.00506,,0.0236,0.00747,0.144,,,,,,,,,,,,,,,
a-tocopherol,0.00761,0.0312,0.0254,0.0166,0.00684,0.018,0.0354,0.0153,0.015,0.0171,0.00975,0.0314,0.00966,0.0533,0.0177,,0.00376,0.00373,,0.0115,0.0043,,0.00493,,0.00744,0.00688,,0.00399,
campesterol,,0.203,0.154,0.119,0.0864,0.14,0.201,0.091,0.113,0.123,0.106,0.214,0.0835,0.292,0.12,,,0.0332,0.0902,0.103,,,0.104,0.0869,0.0973,0.1,,0.0576,
diethylcarbamate (1TMS),,0.108,,0.134,,,0.133,0.149,,,,,0.128,,,,,,,,,,,,,,,,
glucose (aP),1.48,1.53,2.24,0.618,0.71,0.573,1.11,0.852,1,4.43,3.59,4.51,3.86,2.91,1.87,1.37,1.47,0.857,0.126,0.0216,0.0908,1.85,8.99,1.71,3.26,1.34,2.25,0.851,0.405
myo-inositol,0.124,0.182,0.307,0.204,0.217,0.194,0.357,0.2,0.324,0.404,0.321,0.309,0.607,1.03,0.65,0.126,0.273,0.183,0.844,0.159,0.554,0.226,1.27,0.184,0.334,0.1,0.21,0.293,0.191
"myo-inositol-1,2-cyclic phosphate",,0.0559,0.0512,0.0331,,0.0351,0.0328,0.0389,0.0215,0.0556,0.0219,0.0577,,0.104,0.0331,,,0.00899,0.0165,,,,,,,,,,
nC22,,,,0.00356,,,0.00338,0.00603,,0.00469,,,,,,,,,,,,,0.00475,,,,,,
nC23,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
phytol,0.0101,0.0301,0.0406,0.0311,0.0183,0.0287,0.0362,0.0162,0.018,0.0201,0.014,0.0279,0.0141,0.0526,0.0168,0.00571,0.0136,0.00938,0.0314,0.0181,0.0205,0.0166,0.0286,0.00942,0.00846,0.00856,0.00256,0.00542,0.00312
"RI=1005.5,  11.9915 min MOSS-4",0.018,0.0152,0.0223,0.013,0.0159,0.0112,0.017,0.0237,0.0178,0.014,0.0139,0.0159,0.0198,0.0195,0.0186,0.0446,0.0271,0.0192,0.0504,0.0348,0.0408,0.0301,0.0267,0.0327,0.0253,0.0199,0.0245,0.031,0.00674
"RI=1019.0,  12.1606 min MOSS-4",0.0623,0.0697,0.202,0.0653,0.132,0.0536,0.138,0.132,0.159,0.2,0.206,0.0643,0.299,0.352,0.394,0.135,0.303,0.228,0.797,0.122,0.442,0.115,,0.0335,0.0983,0.0125,0.0517,0.0557,0.0435
"RI=1022.4,  12.2026 min MOSS-4",0.0109,0.00715,,0.00809,0.0156,0.00865,0.0085,0.0125,0.0103,0.012,0.015,0.0113,0.0106,0.00774,,0.0115,,,0.0112,,0.00965,,0.00888,0.00762,,0.00649,0.0147,0.00623,
"RI=1049.2,  12.5398 min MOSS-4",0.0332,0.0318,0.0469,0.0236,0.03,0.0222,0.0486,0.057,0.0529,0.0372,0.0352,0.0411,0.137,0.0621,0.0525,0.0339,0.0246,0.0137,0.112,0.038,0.0848,0.0221,0.0437,0.0145,0.0222,0.00774,0.0184,0.0145,0.00505
"RI=1065.2,  12.7399 min MOSS-4",0.0193,0.0226,0.06,0.0187,0.0314,0.0149,0.0438,0.0423,0.0501,0.0595,0.0556,0.0247,0.107,0.0976,0.116,0.0459,0.0774,0.0555,0.205,0.0314,0.0989,0.0226,,,0.0217,,0.00959,0.0133,0.011
"RI=1111.9,  13.3258 min MOSS-4",,0.0355,,0.0252,,0.0263,0.0496,,,,,0.0284,0.00713,0.233,,,,,,,,,,,,,,,
"RI=1231.0,  14.8216 min MOSS-4",0.0357,0.0475,0.0867,0.0643,0.103,0.0667,0.11,0.114,0.121,0.137,0.131,0.106,0.257,0.272,0.235,0.0358,0.102,0.0674,0.268,0.0496,0.131,0.0887,0.324,0.0498,0.0931,0.0231,0.0499,0.0408,0.0269
"RI=1273.9,  15.3600 min MOSS-4",0.0477,0.0571,0.2,0.0544,0.178,0.0505,0.0988,0.194,0.233,0.239,0.105,0.0677,0.517,0.184,0.496,0.0981,0.204,0.128,0.802,0.118,0.417,0.12,0.14,0.0298,0.0908,0.0154,0.0711,0.0697,0.049
"RI=1280.9,  15.4473 min MOSS-4",0.0883,0.0736,0.314,0.0804,0.19,0.0744,0.138,0.162,0.199,0.234,0.243,0.0662,0.373,0.255,0.536,0.157,0.402,0.279,0.813,0.129,0.494,0.137,,0.0424,0.151,0.00918,0.0623,0.0684,0.0463
"RI=1284.4,  15.4916 min MOSS-4",,0.0174,,0.0195,,,0.0397,,,,,0.023,,,,,,,,,,,,,,,,,
"RI=1284.7,  15.4949 min MOSS-4",,,,0.0221,,0.0214,0.0511,,,,,,,0.251,,,,,,,,,0.00734,,,,,,
"RI=1335.1,  16.1273 min MOSS-4",,0.000921,0.00233,0.00523,0.00164,0.00104,0.0023,0.00122,,0.00278,0.00829,0.00278,,0.00106,0.0014,,,,0.00298,,,,,0.0028,0.00171,,,,
"RI=1343.5,  16.2334 min MOSS-4",0.0357,0.0168,0.029,0.0155,0.0223,0.0152,0.0418,0.0312,0.0414,0.0354,0.0366,0.0451,0.191,0.0815,0.0574,0.0234,0.0284,0.0199,0.151,0.0316,0.111,0.0306,0.105,0.0268,0.047,0.0192,0.0329,0.0423,0.0147
"RI=1358.0,  16.4147 min MOSS-4",,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=1358.2,  16.4180 min MOSS-4",0.105,0.125,0.246,0.161,0.251,0.169,0.309,0.336,0.359,0.343,0.309,0.25,0.77,0.654,0.588,0.152,0.278,0.184,1.3,0.228,0.739,0.231,0.924,0.126,0.281,0.0665,0.176,0.176,0.106
"RI=1396.1,  16.8934 min MOSS-4",,0.00558,,0.0103,,0.0123,0.0111,,,,,0.0168,,0.00349,,,,,,,,,,,,,,,
"RI=1432.4,  17.3489 min MOSS-4",,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=1432.6,  17.3511 min MOSS-4",,,,0.0668,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=1443.0,  17.4815 min MOSS-4",0.0508,0.00607,,0.00966,0.0817,0.0681,,,,,,,,,,,,,,0.0246,,,,,,,,,
"RI=1657.5,  20.1735 min MOSS-4",0.276,0.692,0.573,0.418,0.285,0.435,0.691,0.329,0.356,0.349,0.383,0.612,0.16,1.06,0.303,0.137,0.149,0.111,0.49,0.21,0.146,0.11,0.115,0.0919,0.13,0.084,0.0335,0.05,
"RI=1657.9,  20.1790 min MOSS-4",,,,0.0103,,,,,,,,,,,,,,,,,,,,,,,,,
"RI=1723.2,  20.9983 min MOSS-6",0.28,0.369,0.144,0.198,,0.18,0.334,0.0877,,0.0859,0.212,0.271,,0.374,,,,0.049,,0.151,,,,0.114,0.166,0.217,0.0501,0.0871,0.0368
"RI=1733.0,  21.1210 min MOSS-6",,,,,,0.0226,,,,,,,,,0.0287,,,,,0.0081,,,,,,,,,
"RI=1756.2,  21.4129 min MOSS-6",0.0435,0.0531,0.0102,0.0292,,0.0259,0.048,,,,0.0266,0.076,,0.0581,,,,,,,,,,0.0134,0.0202,,,0.00731,
"RI=1780.5,  21.7169 min MOSS-6",0.0919,0.0998,0.0505,0.0543,0.0175,0.0492,0.0913,0.0265,0.0135,0.0294,0.0632,0.0725,,0.107,0.0197,,0.0148,0.0139,0.0246,0.0419,,0.0113,0.0257,0.0288,0.0507,0.0587,0.0135,0.0231,0.0102
"RI=1785.5,  21.7799 min MOSS-6",,,,,,0.0248,,,,,,,,,,,,,,,,,,,,,,,
"RI=1785.8,  21.7832 min MOSS-6",0.049,0.0388,0.0704,0.0367,0.0487,0.037,0.0625,0.0954,0.0919,0.0336,0.0283,,0.00856,0.0324,0.0492,,0.0185,0.00741,,0.145,,,,,0.0215,,0.012,0.00625,
"RI=1822.1,  22.2398 min MOSS-6",,0.00625,,0.0138,,0.0166,0.0351,,0.00882,0.0125,0.0362,0.0313,0.0107,0.0575,0.0237,,0.00609,0.0103,0.0172,0.00561,0.00855,,,,0.0166,,,0.00459,
